Date,Open,High,Low,Close,Adj Close,Volume
1997-07-01,744.979980,760.520020,744.669983,758.030029,758.030029,0
1997-07-02,763.390015,777.289978,763.390015,777.289978,777.289978,0
1997-07-03,778.820007,782.169983,773.270020,775.260010,775.260010,0
1997-07-04,776.020020,783.239990,773.900024,781.700012,781.700012,0
1997-07-07,777.700012,777.750000,772.140015,773.510010,773.510010,0
1997-07-08,773.000000,774.000000,761.570007,767.739990,767.739990,0
1997-07-09,768.260010,772.239990,763.969971,771.989990,771.989990,0
1997-07-10,771.989990,773.169983,765.500000,767.770020,767.770020,0
1997-07-11,766.909973,771.080017,762.710022,768.299988,768.299988,0
1997-07-14,767.169983,770.729980,763.609985,764.450012,764.450012,0
1997-07-15,762.929993,764.200012,748.469971,755.049988,755.049988,0
1997-07-16,750.349976,750.349976,737.590027,739.719971,739.719971,0
1997-07-17,null,null,null,null,null,null
1997-07-18,737.229980,748.059998,736.710022,747.369995,747.369995,0
1997-07-21,741.020020,747.520020,736.919983,740.929993,740.929993,0
1997-07-22,740.890015,741.150024,723.460022,725.979980,725.979980,0
1997-07-23,723.559998,730.780029,721.669983,730.580017,730.580017,0
1997-07-24,729.419983,739.039978,724.919983,739.039978,739.039978,0
1997-07-25,739.820007,746.869995,733.590027,733.640015,733.640015,0
1997-07-28,732.559998,738.130005,730.909973,733.919983,733.919983,0
1997-07-29,733.679993,734.630005,731.409973,732.679993,732.679993,0
1997-07-30,733.630005,736.280029,726.059998,726.890015,726.890015,0
1997-07-31,724.780029,726.119995,721.400024,726.119995,726.119995,0
1997-08-01,726.840027,735.169983,726.789978,731.450012,731.450012,0
1997-08-04,729.659973,734.690002,729.239990,734.190002,734.190002,0
1997-08-05,734.369995,740.909973,733.659973,740.859985,740.859985,0
1997-08-06,740.039978,745.650024,739.679993,745.650024,745.650024,0
1997-08-07,746.380005,748.969971,743.400024,745.349976,745.349976,0
1997-08-08,745.969971,752.010010,745.909973,752.010010,752.010010,0
1997-08-11,762.770020,766.479980,762.359985,765.070007,765.070007,0
1997-08-12,766.260010,766.700012,761.799988,762.020020,762.020020,0
1997-08-13,762.989990,766.520020,760.940002,762.729980,762.729980,0
1997-08-14,762.780029,762.780029,753.659973,755.780029,755.780029,0
1997-08-15,null,null,null,null,null,null
1997-08-18,747.840027,749.440002,745.369995,747.289978,747.289978,0
1997-08-19,746.460022,747.450012,737.539978,741.289978,741.289978,0
1997-08-20,741.159973,749.309998,735.369995,746.229980,746.229980,0
1997-08-21,745.750000,746.690002,739.419983,739.469971,739.469971,0
1997-08-22,738.919983,742.280029,729.719971,736.619995,736.619995,0
1997-08-25,744.039978,746.989990,739.989990,741.760010,741.760010,0
1997-08-26,740.770020,740.770020,731.549988,734.030029,734.030029,0
1997-08-27,732.549988,735.729980,730.239990,730.280029,730.280029,0
1997-08-28,729.859985,731.359985,716.599976,716.859985,716.859985,0
1997-08-29,714.969971,718.609985,704.270020,704.270020,704.270020,0
1997-09-01,691.799988,697.380005,682.099976,682.200012,682.200012,0
1997-09-02,679.090027,688.780029,671.090027,688.780029,688.780029,0
1997-09-03,690.729980,697.440002,687.330017,688.630005,688.630005,0
1997-09-04,687.369995,690.190002,682.219971,687.989990,687.989990,0
1997-09-05,688.039978,701.359985,686.989990,700.919983,700.919983,0
